LSOA21CD,med_price_dec_21
E01013184,127000.0
E01013185,165000.0
E01013186,190000.0
E01013187,134975.0
E01013188,132475.0
E01013189,160000.0
E01013190,184950.0
E01013191,196950.0
E01013192,135000.0
E01013193,167500.0
E01013194,160000.0
E01013195,89000.0
E01013196,81500.0
E01013197,137000.0
E01013198,139725.0
E01013199,86000.0
E01013200,140000.0
E01013201,77000.0
E01013202,88000.0
E01013203,75000.0
E01013204,139000.0
E01013205,88500.0
E01013206,109475.0
E01013207,110000.0
E01013208,
E01013209,115000.0
E01013210,83500.0
E01013211,120000.0
E01013212,
E01013213,150000.0
E01013214,198000.0
E01013215,327000.0
E01013216,186500.0
E01013217,168000.0
E01013218,54000.0
E01013219,123995.0
E01013220,70000.0
E01013221,67000.0
E01013222,67000.0
E01013223,232000.0
E01013224,195498.0
E01013225,395000.0
E01013226,185000.0
E01013227,125000.0
E01013228,129000.0
E01013229,100000.0
E01013231,90000.0
E01013233,98500.0
E01013234,104000.0
E01033414,122000.0
E01013236,151000.0
E01013237,97500.0
E01013238,90000.0
E01013239,145000.0
E01013240,133725.0
E01013241,215000.0
E01013242,295000.0
E01013243,245000.0
E01013244,240000.0
E01013245,108000.0
E01013246,165000.0
E01013247,185000.0
E01013248,235000.0
E01013249,190000.0
E01013250,243500.0
E01013251,272550.0
E01013252,275000.0
E01013253,243750.0
E01013254,170000.0
E01013255,165000.0
E01013256,159250.0
E01013257,217500.0
E01013258,145500.0
E01013259,179000.0
E01013260,169998.0
E01013261,170000.0
E01013262,183000.0
E01013263,162500.0
E01013264,149750.0
E01013265,181000.0
E01013266,155000.0
E01013267,325000.0
E01013268,202000.0
E01013269,255000.0
E01013270,185000.0
E01013271,135500.0
E01013272,161750.0
E01013273,200000.0
E01013274,165000.0
E01013275,207000.0
E01013276,150000.0
E01013277,147500.0
E01013278,86750.0
E01013279,85500.0
E01013280,126650.0
E01013281,109500.0
E01013282,135498.0
E01013283,325000.0
E01013284,105000.0
E01013285,190000.0
E01013286,111500.0
E01013287,154000.0
E01013288,177500.0
